product_id,detail_url,category,competitor,sales_price,original_price,Lichtbron,Hoogte,Breedte,Diepte,Kleur,Kap ,Hoogte Armleuning,Stof,Poten,Stoeldiepte,Zitdiepte,Stoelhoogte,Zithoogte,Zitting,Lengte,Bovendeel,Oppervlakte,Onderstel,Rughoogte,Diepte chaise longue,Zitdiepte chaise longue,Breedte: 238 cm Rygh›jde,Opmerking,Zitcomfort,Breedte armleuning,Diepte chaiselong,Zitdiepte/chaiselong,Diepte open einde,Zitdiepte open einde,Breedte armleuningen,Rygh›jde,Breedte chaiselong,Afmetingen uitgeklapt,Afmetingen Matras,Matras,Afmetingen uitegeklapt,Materialen matras,Bekleding,Armsteun,Afmetingen matras,Diepte: 96,Breedte 3 pers. deel,Breedte 2 pers. deel,Zitdiepte/chaise longue,Breedte 3 pers. met chaise.,Breedte 2 pers. Deel,Diepte Open End,Zitdiepte incl Open End,Breedte 3 pers.,Breedte 2 pers. deel met chaise,Breedte 2 « pers. deel,Breedte 2 pers. del,Breedte 2« pers. deel,Breedte 3 pers. met chais.,Kap,Kap,Kap Ø,Diameter,Productinformatie,Land van herkomst,Boog Hoogte,Voet ,Voet,Kuip
20-065-03_0,https://www.bolia.com/nl-nl/producten/20-065-03_0,wall_lights,bolia,14,14,"18W E27, 2900K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-120-02_11119550,https://www.bolia.com/nl-nl/producten/20-120-02_11119550,wall_lights,bolia,590,590,,"24,3 cm",92 cm,16 cm,"Matt antiek messing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-090-02_0,https://www.bolia.com/nl-nl/producten/20-090-02_0,wall_lights,bolia,42,42,E27/4W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-090-06_4699,https://www.bolia.com/nl-nl/producten/20-090-06_4699,wall_lights,bolia,32,32,"E14/1,5W/240V",9 cm,"4,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-004-13_4642,https://www.bolia.com/nl-nl/producten/20-004-13_4642,wall_lights,bolia,62,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-120-02_6893458,https://www.bolia.com/nl-nl/producten/20-120-02_6893458,wall_lights,bolia,590,590,,"24,3 cm",92 cm,16 cm,"Mat zwart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-098-03_0,https://www.bolia.com/nl-nl/producten/20-098-03_0,wall_lights,bolia,17,17,E27/25W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-090-07_50,https://www.bolia.com/nl-nl/producten/20-090-07_50,wall_lights,bolia,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-096-01_3,https://www.bolia.com/nl-nl/producten/20-096-01_3,wall_lights,bolia,479,479,,63 cm,"49,8 cm","8,8 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-098-01_0,https://www.bolia.com/nl-nl/producten/20-098-01_0,wall_lights,bolia,15,15,E14/3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-107-07_11118590,https://www.bolia.com/nl-nl/producten/20-107-07_11118590,wall_lights,bolia,399,399,,50 cm,20 cm,"27,4 cm",Zwarte voet/Zwarte stang/Grijze kap,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-090-04_4699,https://www.bolia.com/nl-nl/producten/20-090-04_4699,wall_lights,bolia,59,59,E27/4W,15 cm,"6,4 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-107-07_11118591,https://www.bolia.com/nl-nl/producten/20-107-07_11118591,wall_lights,bolia,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-063-02_0,https://www.bolia.com/nl-nl/producten/20-063-02_0,wall_lights,bolia,20,20,2W/ E14.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-065-04_0,https://www.bolia.com/nl-nl/producten/20-065-04_0,wall_lights,bolia,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-098-02_0,https://www.bolia.com/nl-nl/producten/20-098-02_0,wall_lights,bolia,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-090-05_4699,https://www.bolia.com/nl-nl/producten/20-090-05_4699,wall_lights,bolia,59,59,"E27/2,5W","17,5 cm","12,5 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-096-02_3,https://www.bolia.com/nl-nl/producten/20-096-02_3,wall_lights,bolia,689,689,,"113,5 cm",92 cm,"8,8 cm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_12883431,https://www.bolia.com/nl-nl/producten/02-019-20_12883431,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Rose mel,,66 cm,Qual - Stof,Gerookt geolied eiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_6377429,https://www.bolia.com/nl-nl/producten/02-019-20_6377429,dining_chairs,bolia,776,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_7839368,https://www.bolia.com/nl-nl/producten/02-019-20_7839368,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Sand,,66 cm,Fabric Pure,"Geolied walnoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-01_8139204,https://www.bolia.com/nl-nl/producten/02-015-01_8139204,dining_chairs,bolia,272,272,,,"39,5 cm",,,,,,Gerookt geolied eiken,45 cm,37 cm,82 cm,47 cm,"Zitting van laminaat, zwart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10585832,https://www.bolia.com/nl-nl/producten/02-019-20_10585832,dining_chairs,bolia,724,724,,46/79 cm,62 cm,55 cm,Light Grey,,66 cm,Hazel - Stof,"Witgeolied eiken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_6558721,https://www.bolia.com/nl-nl/producten/02-019-20_6558721,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Dark Petrol,,66 cm,Devide - Stof,"Geolied walnoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_5894659,https://www.bolia.com/nl-nl/producten/02-019-20_5894659,dining_chairs,bolia,829,829,,46/79 cm,62 cm,55 cm,Dark Grey Melange,,66 cm,Qual - Stof,"Geolied eiken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-111-06_9786451,https://www.bolia.com/nl-nl/producten/02-111-06_9786451,dining_chairs,bolia,669,669,,45 cm,40 cm,,,,,,,,,,,,90 cm,Zitting van eiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-111-15_5127005,https://www.bolia.com/nl-nl/producten/02-111-15_5127005,dining_chairs,bolia,314,314,,4 cm,,40 cm,Light Green Melange,,,Devide - Stof,,,,,,,200 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-19_337954,https://www.bolia.com/nl-nl/producten/02-015-19_337954,dining_chairs,bolia,608,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_10587458,https://www.bolia.com/nl-nl/producten/02-019-20_10587458,dining_chairs,bolia,724,724,,46/79 cm,62 cm,55 cm,Blue,,66 cm,Hazel - Stof,"Geolied walnoot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-111-06_9786406,https://www.bolia.com/nl-nl/producten/02-111-06_9786406,dining_chairs,bolia,799,799,,45 cm,40 cm,,,,,,,,,,,,90 cm,Zitting van eiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-015-15_7868161,https://www.bolia.com/nl-nl/producten/02-015-15_7868161,dining_chairs,bolia,388,388,,,"39,5 cm",,,,,,Gerookt eiken,41 cm,,94 cm,"63,5 cm",Gerookt eiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-019-20_7838580,https://www.bolia.com/nl-nl/producten/02-019-20_7838580,dining_chairs,bolia,776,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
