product_id,detail_url,title,price,category,competitor,Hoogte armleuning,Afmetingen,Zithoogte,Zitdiepte,Ruimte,Materiaal,Garantie,Merk,Categorie,Productsoort,Herkomst,Productfamilie,Zitbreedte,Ontwerper,Stofsoorten,Dimtechniek,Snoerlengte (in cm),Waterdichtheid,Lichtrichting,Bediening,Dimbaar,Lichtbron,Plafondkapje,Aanbevolen lichtbron,Fitting,Opmerking,Soort lichtbron,Kleurtemperatuur,Energielabel,Stapelbaar tot,Stekker,Productiemethode
61272,https://www.flinders.nl/dutchbone-chester-bank-2-5-zits,"Chester bank 2,5-zits",999,2_seat_sofas,flinders,77,(b) 186.00 x (d) 94.00 x (h) 77.00 cm,45,61,Alleen geschikt voor binnen,"Dennen (hout), Eiken (hout), Katoen, Velours (fluweel)",1 jaar,Dutchbone,Zitbanken,Dutchbone banken,Nederland,,,,,,,,,,,,,,,,,,,,,
32392,https://www.flinders.nl/be-pure-rodeo-velvet-bank-2-5-zits,"Rodeo Velvet bank 2,5-zits",749,2_seat_sofas,flinders,68,(b) 190 x (d) 86 x (h) 85 cm,45,60,Alleen geschikt voor binnen,Velours (fluweel),1 jaar,BePureHome,Zitbanken,BePureHome banken,Nederland,"BePureHome Rodeo, BePureHome Rodeo Velvet",,,,,,,,,,,,,,,,,,,,
53593,https://www.flinders.nl/montis-axel-25-zits-bank,"Axel bank 2,5-zits",2.616,2_seat_sofas,flinders,63,(b) 159.00 x (d) 97.00 x (h) 80.00 cm,43,55,Alleen geschikt voor binnen,"Beuken (hout), Foam, MDF (hout), Roestvrijstaal",1 jaar,Montis,Zitbanken,Montis banken,Nederland,Montis Axel,143,Gijs Papavoine,,,,,,,,,,,,,,,,,,
49758,https://www.flinders.nl/zuiver-jean-bank-2-5-zits,"Jean bank 2,5-zits",999,2_seat_sofas,flinders,55,(b) 204 x (d) 90 x (h) 80 cm,45,53,Alleen geschikt voor binnen,"Dennen (hout), Polyester (kunststof), PU-schuim (kunststof), Staal",2 jaar,Zuiver,Zitbanken,Zuiver banken,Nederland,Zuiver Jean,174,,,,,,,,,,,,,,,,,,,
41966,https://www.flinders.nl/design-on-stock-aikon-bank-25-zits,"Aikon bank 2,5-zits",1.949,2_seat_sofas,flinders,62,(b) 196.00 x (d) 102.00 x (h) 75.00 cm,43,59,Alleen geschikt voor binnen,"Aluminium (metaal), Leer, MDF (hout), Multiplex, Stof",,Design on Stock,Zitbanken,Design on Stock banken,Nederland,Design on Stock Aikon,,Marike Andeweg,"Design on Stock Alba, Design on Stock Amaro, Design on Stock Bergen, Design on Stock Blazer, Design on Stock Canal, Design on Stock CrissCross, Design on Stock Divina MD, Design on Stock Hudson, Design on Stock Loop, Design on Stock Milton, Design on Stock Murcia, Design on Stock Nevada, Design on Stock Noosa, Design on Stock Noplin, Design on Stock Ormond, Design on Stock Ploegwool, Design on Stock Senna, Design on Stock Stanton, Design on Stock Synergy, Design on Stock Tremont, Design on Stock Willow",,,,,,,,,,,,,,,,,
53608,https://www.flinders.nl/montis-daley-25zits-bank,"Daley bank 2,5-zits",2.490,2_seat_sofas,flinders,63,(b) 185.00 x (d) 85.00 x (h) 66.00 cm,41,68,Alleen geschikt voor binnen,"Aluminium (metaal), Veren",1 jaar,Montis,Zitbanken,Montis banken,Nederland,Montis Daley,150,Niels Bendtsen,,,,,,,,,,,,,,,,,,
49751,https://www.flinders.nl/zuiver-bor-bank-2-5-zits,"Bor bank 2,5-zits",799,2_seat_sofas,flinders,56,(b) 200 x (d) 94 x (h) 74 cm,42,61,Alleen geschikt voor binnen,"Dennen (hout), Polyester (kunststof), PP (kunststof), PU-schuim (kunststof)",2 jaar,Zuiver,Zitbanken,Zuiver banken,Nederland,Zuiver Bor,152,,,,,,,,,,,,,,,,,,,
48680,https://www.flinders.nl/eyye-etcetera-2-5-zits-bank,"Etcetera 2,5-zits bank",1.399,2_seat_sofas,flinders,,(b) 193.00 x (d) 89.00 x (h) 66.00 cm,44,,Alleen geschikt voor binnen,"Aluminium (metaal), Leer, Stof",2 jaar,EYYE,Zitbanken,EYYE banken,Nederland,EYYE Etcetera,,Studio Foorumi,"EYYE Alea, EYYE Amaro, EYYE Bulan, EYYE Cabo, EYYE Cera, EYYE CrissCross, EYYE Loxton, EYYE Milton, EYYE Myra, EYYE Nive, EYYE Noplin, EYYE Ploegwool, EYYE Senna, EYYE Synergy",,,,,,,,,,,,,,,,,
29880,https://www.flinders.nl/jaey-bank-2-5-zits,"Jaey bank 2,5-zits",969,2_seat_sofas,flinders,65,(b) 181 x (d) 90 x (h) 76 cm,50,,Alleen geschikt voor binnen,"Polyester (kunststof), PU-schuim (kunststof)",1 jaar,Zuiver,Zitbanken,Zuiver banken,Nederland,Zuiver Jaey,,,,,,,,,,,,,,,,,,,,
12951,https://www.flinders.nl/hay-mags-2-5zits-bank-combinatie-1,"Mags bank 2,5 zits combinatie 1",2.359,2_seat_sofas,flinders,,(b) 228 x (d) 95.5 x (h) 67 cm,,,Alleen geschikt voor binnen,"Grenen, Textiel, Wol",,Hay,Zitbanken,Hay banken,Denemarken,Hay Mags,,,"Kvadrat Canvas, Kvadrat Compound, Kvadrat Divina 3, Kvadrat Divina MD, Kvadrat Divina Melange 2, Kvadrat Hallingdal 65, Kvadrat Hero, Kvadrat Remix 2, Kvadrat Rime, Kvadrat Steelcut 2, Kvadrat Steelcut Trio 2, Kvadrat Tonus 4",,,,,,,,,,,,,,,,,
48701,https://www.flinders.nl/eyye-cella-2-5-zits-bank,"Cella 2,5-zits bank",1.399,2_seat_sofas,flinders,,(b) 202.00 x (d) 104.00 x (h) 63.00 cm,43,,Alleen geschikt voor binnen,"Aluminium (metaal), Leer, Stof",2 jaar,EYYE,Zitbanken,EYYE banken,Nederland,EYYE Cella,,Studio Tom Dissel,"EYYE Alea, EYYE Amaro, EYYE Bulan, EYYE Cabo, EYYE Cera, EYYE CrissCross, EYYE Loxton, EYYE Milton, EYYE Myra, EYYE Nive, EYYE Noplin, EYYE Ploegwool, EYYE Senna, EYYE Synergy",,,,,,,,,,,,,,,,,
