product_id,detail_url,title,price,category,competitor,Breedte,Fitting,Hoogte,Lichtbron meegeleverd,Materiaal,Productnummer,EAN Code,Aantal lichtbronnen,Dimbaar,Dimmer,Kleur,Kleurtint,Lichtbron,Diameter,Snoerlengte in meters,Bestelcode,Garantie,Productserie,Vermogen (in Watt),Diepte,Gewicht in kg,Type lamp,Vorm,Maat,IP-waarde,Materiaal type,Elektrische vereisten,Ruimte,Voltage,Automatische uitschakeling,Snoerloos,Dimmer voor de lichtintensiteit,Soort,Klemlamp,Kleurtemperatuur,Lengte,Branduren,Oplaadbaar,Brandstof,Type,Type/uitvoering,Draadloos,Energielabel,Stroomvoorziening,Meegeleverd in de doos,Kooldraad,Onderstel,Lichtkleur,Aantal delen,Geschenkverpakking,Lumen,Batterijtechnologie,Gewicht in gr,Type bureau accessoire,Lichtkleur EN 123646-1,Geschikt voor binnen / buiten,Philips Hue Lijn,Philips Serie,Geschikt voor badkamer,Functie verlichting,12v aansluiting,Lichtrichting,Oplaadtijd (in uren),Sensor,Type verlichting,Designers,Accuduur,Kleur frame,Type lampaccessoire,In hoogte verstelbaar,Slaapkamer stijl,Vaatwasserbestendig,Draagbaar,Soort speaker,Speaker type,Streaming Audio type,Type design,Dikte,Draadloze techniek,Filament,Glas lichtbron,Smart functies,Smart,Wandlamp aansluiting,Ingebouwde verlichting,Nominale levensduur lamp,Waterproof,Allergievrij,Hardheid,Hoofdbord,Kleur poten,Model,Tijk,Type boxspring,Type matras,Type slaper,Verstelbare bedbodem,Vulling,Wasbare hoes,Gemonteerd bij levering,Geschikt voor verstelbare bedbodems,Zitbreedte,Zitdiepte,Zithoogte,Materiaal onderstel,Materiaal zitting,Maximale draagkracht,Aantal latten/schotels,Max. gewicht,Type kern boxspring,Type vering matras,Afmetingen uitgeklapt,Frame materiaal,Armleuning,Stapelbaar,Armhoogte,Kleur onderstel,Kleur zitting,Hoogte armleuning,Wielen,Type tuinstoel,Afmetingen zitvlak,Zitting,Kleur Zitschaal,Type fauteuil,Type bank,Ingebouwde pomp,Afstandsbediening,Aantal personen,Kleur snoer,Kleur fitting,Formaat,Hangend,Timer,Type feestverlichting,Materiaal tafelblad,Max Belastbaarheid,Type spot,Wandbevestiging,Opbergruimte,Lades,Leeftijd,Dessin Vloerkleden,Type vloerkleed,Droogvoorschriften,Wasvoorschriften,Type decoratie kinderkamer
330725,https://www.fonq.nl/product/chericoni-tafellamp-wall-street/330725/,Chericoni Tafellamp Wall Street,"49,95",table_lights,fonq,24 cm,E27,39 cm,Nee,"Hout, Metaal",2_058386,8715169101506,1,Nee,Niet geschikt voor dimmer,"Bruin, Zilver",Oud zilver,"LED, Spaarlamp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261448,https://www.fonq.nl/product/frandsen-benjamin-tafellamp/261448/,Frandsen Benjamin Tafellamp,"213,-",table_lights,fonq,,E14,46 cm,Nee,Metaal,240760,5702410292048,1,,Geschikt voor dimmer,Rood,Dusty red,,20 cm,"2,5",2493 5005011,2 jaar,Benjamin,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268813,https://www.fonq.nl/product/bloomingville-fleur-de-sel-bamboe-tafellamp/268813/,Bloomingville Fleur de Sel Bamboe Tafellamp,"140,99


149,-",table_lights,fonq,18 cm,E27,68 cm,Nee,Bamboe,244277,5711173208425,1,,Niet geschikt voor dimmer,Wit,,"Halogeen, LED, Spaarlamp",18 cm,"2,25",82041164,2 jaar,,60,18 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233512,https://www.fonq.nl/product/house-doctor-opal-tafellamp/233512/,House Doctor Opal Tafellamp,"135,95


219,-",table_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274099,https://www.fonq.nl/product/mica-hudson-tafellamp/274099/,Mica Hudson Tafellamp,"77,99",table_lights,fonq,,E27,45 cm,Nee,Zeegras,245840,8718861483086,1,Ja,Niet geschikt voor dimmer,Bruin,Lichtbruin,"Halogeen, LED, Spaarlamp",34 cm,3,1050293,2 jaar,Hudson,60,,"0,3 kg",Tafellamp,Kegel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331708,https://www.fonq.nl/product/tafellamp-noor-zink-24xh47-cm/331708/,Tafellamp Noor Zink - Ø24xH47 cm,"79,95",table_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285063,https://www.fonq.nl/product/kare-design-tafellamp-wire-bowl-1-lichts-30-x-h50-cm-zwart/285063/,Kare Design Tafellamp Wire Bowl 1-Lichts Ø30 X H50 Cm - Zwart,"229,-",table_lights,fonq,30 cm,E27,50 cm,Nee,Metaal,2_016666,4025621398325,1,,Niet geschikt voor dimmer,Zwart,Zwart,,,,,,,,30 cm,,,,L X B30 X H50 X D30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339768,https://www.fonq.nl/product/freelight-tafellamp-woody-vintage-rusty/339768/,Freelight Tafellamp Woody Vintage Rusty,"69,-",table_lights,fonq,,E27,30 cm,Nee,"Hout, Metaal",2_064551,8718444958499,1,Ja,Niet geschikt voor dimmer,Bruin,,Exclusief,,,,,,,26 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218357,https://www.fonq.nl/product/petite-friture-cast-tafellamp-met-dimmer/218357/,Petite Friture Cast Tafellamp met Dimmer,"230,40


288,-",table_lights,fonq,16 cm,G9,27 cm,Nee,"Beton, Glas",207504,3760236186974,1,,Ingebouwde dimmer,Grijs,,"Halogeen, LED",16 cm,2,L0580302,2 jaar,Cast,20,,,,,,20,Boriumsilicaat glas: hittebestendig en sterk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25029,https://www.fonq.nl/product/design-house-stockholm-cord-lamp-mini/25029/,Design House Stockholm Cord Lamp Mini,"167,-


210,-",table_lights,fonq,,E27,48 cm,,"RVS, Textiel",47022,7350021838100,1,,,Zwart,,"Halogeen, LED",,,1626-0008,2 jaar,Cord lamp,60,,,E27 max 60W,,,,Textiel koord,220 - 240 Volt,"Kantoor, Woonkamer",220-240 Volt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328712,https://www.fonq.nl/product/lucide-owino-tafellamp/328712/,Lucide Owino Tafellamp,"99,95",table_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197230,https://www.fonq.nl/product/lucide-beli-tafellamp/197230/,Lucide Beli Tafellamp,"44,95",table_lights,fonq,,E27,30 cm,Nee,Metaal,186586,5411212030818,1,Ja,Geschikt voor dimmer,Goud,,"Halogeen, LED",12 cm,,03516/01/01,2 jaar,Beli,60,,,,,,,,220 - 240 Volt,,,Nee,Nee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44701,https://www.fonq.nl/product/artemide-castore-tafellamp-25-cm/44701/,Artemide Castore Tafellamp Ø 25 cm,"450,-",table_lights,fonq,,E27,55 cm,Nee,Glas,66828,,1,,Ingebouwde dimmer,Wit,,Halogeen,25 cm,,1050010A,2 jaar,Castore,100,,,,,,,,220 - 240 Volt,"Kantoor, Woonkamer",220-240 Volt,,,Ja,Tafellamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221651,https://www.fonq.nl/product/eglo-bradford-tafellamp/221651/,EGLO Bradford Tafellamp,"38,95


49,95",table_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295608,https://www.fonq.nl/product/light-living-bureaulamp-pierce-nikkel/295608/,Light & Living Bureaulamp PIERCE - nikkel,"55,95",table_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240968,https://www.fonq.nl/product/anglepoise-75-margaret-howell-tafellamp/240968/,Anglepoise 75 Margaret Howell Tafellamp,"184,-",table_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115072,https://www.fonq.nl/product/artemide-demetra-klemlamp/115072/,Artemide Demetra Klemlamp,"323,-",table_lights,fonq,"40,6 cm",Ingebouwd (LED),57 cm,Ja,Aluminium,122546,,1,,Ingebouwde dimmer,Grijs,Grijs,LED,,,1734010A/1744010A,2 jaar,Demetra,"7,5",65 cm,,Klemlamp,,,,,220 - 240 Volt,Kantoor,220-240 Volt,,,,Tafellamp,Ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213059,https://www.fonq.nl/product/it-s-about-romi-biarritz-tafellamp/213059/,it’s about RoMi Biarritz Tafellamp,"169,-",table_lights,fonq,20 cm,E14,60 cm,Nee,"IJzer, Metaal",202126,8716248076654,1,,Geschikt voor dimmer,Zwart,,"Halogeen, LED",,"1,8",BIARRITZ/T/B,2 jaar,Biarritz,40,43 cm,"3,8 kg",,,,,Met een matte poedercoating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278002,https://www.fonq.nl/product/kartell-mini-kabuki-tafellamp/278002/,Kartell Mini Kabuki Tafellamp,"293,-",table_lights,fonq,30 cm,Ingebouwd (LED),70 cm,Ja,Kunststof,248000,8058967283136,1,,Ingebouwde dimmer,Zwart,Black,LED,30 cm,,0920009,2 jaar,Mini Kabuki,"8,4",30 cm,,,,,,Technopolymeer,,,,,,,,,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
