product_id,detail_url,title,price,category,competitor,product_type,Ladehoogte (binnenkant),Lengte,Breedte,Hoogte,Ladebreedte (binnenkant),Ladediepte (binnenkant),Verhoogd hoofdeinde,Matraslengte,Matrasbreedte,description,Verhoogd voeteneinde,Vrije hoogte onder meubel,"Hoogte, 2 bedden",Diepte,Zitdiepte,Zithoogte,Hoogte armleuning,Hoogte inclusief rugkussens,Breedte armleuning,Zitbreedte,Hoogte rugleuning,Aantal zitplaatsen,Max. hoogte,Min. zithoogte,Max. zithoogte,Diameter,Hoogte lampenkap,Snoerlengte,Diameter lampenkap,Vermogen,Dikte,Aantal per verpakking,Diameter voet,Breedte lampenkap,Bedbreedte,Bedlengte,Lengte uitgeklapt,Breedte uitgeklapt,Min. diepte,Max. diepte,Diepe chaise longue,"Zitdiepte, chaise longue",Matrasdikte,Bedhoogte,Breedte rechts,Breedte links,Max. zitdiepte,Min. zitdiepte,Oppervlak,Min. poolhoogte,Min. oppervlakte,Min. lengte,Zitbreedte rechts,Zitbreedte links,Min. breedte,Max. breedte,"Zitbreedte, chaise longue",Min. hoogte,Lengte ketting,Diameter wandbevestiging,Verzinkingsdiameter,Max. diameter,Totale hoogte,Max. belasting/fauteuilonderstel,Max. belasting,Max. lengte,Inhoud
S99131281,https://www.ikea.com/nl/nl/catalog/products/S99131281/,MALM,329,Double_beds,ikea,"Bedframe, hoog met 4 bedlades, bruin gelazuurd essenfineer, Luröy",15 cm,209 cm,176 cm,38 cm,97 cm,59 cm,100 cm,200 cm,160 cm,Een stijlvolle vorm met echt houtfineer - zet het bed vrijstaand neer of met het hoofdeinde tegen een muur. Je krijgt er bovendien ruime lades bij die zacht en licht op wieltjes lopen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S59194421,https://www.ikea.com/nl/nl/catalog/products/S59194421/,HEMNES,459,Double_beds,ikea,"Bedframe met 4 bedlades, zwartbruin, Leirsund",,211 cm,154 cm,,,,120 cm,200 cm,140 cm,"Praktische opbergruimte voor extra kussen, dekbed of sprei. Massief hout; een slijtvast en warm natuurmateriaal.",66 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S59006806,https://www.ikea.com/nl/nl/catalog/products/S59006806/,BRIMNES,169,Double_beds,ikea,"Bedframe met opberglades, zwart € 179.- / st.",20 cm,206 cm,166 cm,47 cm,94 cm,54 cm,,200 cm,160 cm,"Wie kleinbehuisd is, moet slim zijn. Dat is vermoedelijk de reden dat je nieuwsgierig bent naar dit bedframe met z'n 4 ruime lades. In de BRIMNES serie zitten meerdere helden die je helpen plaats te besparen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90301348,https://www.ikea.com/nl/nl/catalog/products/90301348/,HERDLA,299,Double_beds,ikea,"Bedframe met opbergruimte, zwartbruin",,220 cm,152 cm,85.3 cm,,,,200 cm,140 cm,De lattenbodem kan worden opgetild en de ruimte eronder kan worden gebruikt als opbergruimte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S79931136,https://www.ikea.com/nl/nl/catalog/products/S79931136/,TRYSIL,99.95,Double_beds,ikea,"Bedframe, wit, lichtgrijs",,218 cm,145 cm,,,,98 cm,200 cm,140 cm,Bedtijd is leestijd - en met het gekantelde hoofdeinde kan je comfortabel zitten. Een perfecte manier om te ontspannen voor het tijd is om het licht uit te doen. Prima te combineren met andere meubels uit de serie TRYSIL.,40 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S49019705,https://www.ikea.com/nl/nl/catalog/products/S49019705/,ASKVOLL,119,Double_beds,ikea,"Bedframe, wit",,208 cm,167 cm,,,,77 cm,200 cm,160 cm,"Laat de zuivere, eenvoudige vorm voor zich spreken of laat het bed de achtergrond vormen voor je lievelingstextiel of andere meubels. Door het lage hoofdeinde perfect onder een raam of een schuin dak.",43 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S39157033,https://www.ikea.com/nl/nl/catalog/products/S39157033/,MALM,179,Double_beds,ikea,"Bedonderstel, hoog, bruin gelazuurd essenfineer",,209 cm,176 cm,,,,100 cm,200 cm,160 cm,"Een stijlvolle vorm met echt houtfineer - zet het bed vrijstaand neer of met het hoofdeinde tegen een muur. En als je extra beddengoed wilt kunnen opbergen, kan je het geheel completeren met de MALM bedlades op wielen.",38 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S59929337,https://www.ikea.com/nl/nl/catalog/products/S59929337/,HEMNES,229,Double_beds,ikea,"Bedframe, zwartbruin",,211 cm,174 cm,,,,120 cm,200 cm,160 cm,Schoonheid die blijft - gemaakt van massief hout van verantwoorde bosbouw. Een slijtvast en vernieuwbaar materiaal dat zijn authentieke karakter jaar na jaar behoudt. Kan worden gecombineerd met andere meubels uit de serie HEMNES.,66 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S39241225,https://www.ikea.com/nl/nl/catalog/products/S39241225/,SONGESAND,119,Double_beds,ikea,"Bedframe, wit",,207 cm,153 cm,,,,95 cm,200 cm,140 cm,Een stevig bedframe met zachte profielranden en hoge poten. Een klassieke vorm die jarenlang mooi blijft. Als je het frame completeert met de SONGESAND bedlades krijg je bovendien plaats voor extra beddengoed - op hetzelfde oppervlak.,41 cm,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S39277304,https://www.ikea.com/nl/nl/catalog/products/S39277304/,LEIRVIK,199,Double_beds,ikea,"Bedframe, wit, Lönset",,209 cm,168 cm,,,,146 cm,200 cm,160 cm,"Als je een romanticus bent, zul je deze decoratieve vormen van wit metaal maar moeilijk kunnen weerstaan. Maak het bed op met mooi textiel en kussens, en slaap lekker!",98 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
