sku,product_id,detail_url,title,price,competitor,height,width,weight,packaging_dimensions,colour,materials
AODTPL058GRY-UK,34831,self-portrait-door-nicebleed,"Self Portrait door Nicebleed, 30 x 40cm print",3900,made,30,40,0.1000,10.1 x 10.1 x 36cm<br>  Gewicht: 480g ,Meerkleurig,Papier
AODTPL059GRY-UK,34836,self-portrait-door-nicebleed,"Self Portrait door Nicebleed, 30 x 42cm (A3) ingelijste print",6900,made,30,42,0.8000,24 x 2.7 x 33cm<br>  Gewicht: 1.1kg,Meerkleurig,"Hout,Papier"
AODTPL060GRY-UK,34841,self-portrait-door-nicebleed,"Self Portrait door Nicebleed, 40 x 50cm print",4900,made,40,50,0.1000,7.6 x 7.6 x 65cm<br>  Gewicht: 750g,Meerkleurig,Papier
AODTPL061GRY-UK,34846,self-portrait-door-nicebleed,"Self Portrait door Nicebleed, 42 x 59cm (A2) ingelijste print",7900,made,42,59,1.3500,24 x 2.7 x 33cm<br>  Gewicht: 1.55kg,Meerkleurig,"Hout,Papier"
AODTPL105ZBW-UK,35066,my-big-bang-hair-theory-door-chungkong,"My Big Bang Hair Theory by Chungkong, 30 x 40cm Print",3900,made,30,40,0.1000,L10.1 x W10.1 x H36cm<br>   Weight: 480g   ,Meerkleurig,Papier
AODTPL106ZBW-UK,35071,my-big-bang-hair-theory-door-chungkong,"My Big Bang Hair Theory door Chungkong, 30 x 42cm (A3) ingelijste print",6900,made,30,42,0.8000,24 x 2.7 x 33cm<br>  Gewicht: 1.1kg,Meerkleurig,"Hout,Papier"
AODTPL107ZBW-UK,35076,my-big-bang-hair-theory-door-chungkong,"My Big Bang Hair Theory door Chungkong, 40 x 50cm print",4900,made,40,50,0.1000,7.6 x 7.6 x 65cm<br>  Gewicht: 750g,Meerkleurig,Papier
AODTPL108ZBW-UK,35081,my-big-bang-hair-theory-door-chungkong,"My Big Bang Hair Theory door Chungkong, 42 x 59cm (A2) ingelijste print",7900,made,42,59,1.3500,24 x 2.7 x 33cm<br>  Gewicht: 1.55kg,Meerkleurig,"Hout,Papier"
AODTPL131ZMU-UK,35196,berlin-map-door-jazzberry-blue,"Berlin Map door Jazzberry Blue, 30 x 30cm print",3900,made,30,30,0.1000,10.1 x 10.1 x 36cm<br>  Gewicht: 480g,Meerkleurig,Papier
AODTPL132ZMU-UK,35201,berlin-map-door-jazzberry-blue,"Berlin Map door Jazzberry Blue, 40 x 40cm print",4900,made,40,40,0.1000,7.6 x 7.6 x 65cm<br>  Gewicht: 750g,Meerkleurig,Papier
AODTPL133ZMU-UK,35206,berlin-map-door-jazzberry-blue,"Berlin Map door Jazzberry Blue, 50 x 50cm ingelijste print",8900,made,50,50,1.4000,54.8 x 2.7 x 48.8cm<br>  Gewicht: 1.55kg,Meerkleurig,"Hout,Papier"
AODTPL169GRY-UK,35591,truce-door-terry-fan,"Truce door Terry Fan, 30 x 40cm print",3900,made,30,40,0.1000,10.1 x 10.1 x 36cm<br>  Gewicht: 480g ,Meerkleurig,Papier
AODTPL170GRY-UK,35596,truce-door-terry-fan,"Truce door Terry Fan, 30 x 42cm (A3) ingelijste print",6900,made,30,42,0.8000,24 x 2.7 x 33cm<br>  Gewicht: 1.1kg,Meerkleurig,"Hout,Papier"
AODTPL171GRY-UK,35601,truce-door-terry-fan,"Truce door Terry Fan, 40 x 50cm print",4900,made,40,50,0.1000,7.6 x 7.6 x 65cm<br>  Gewicht: 750g,Meerkleurig,Papier
AODTPL172GRY-UK,35611,truce-door-terry-fan,"Truce door Terry Fan, 42 x 59cm (A2) ingelijste print",7900,made,42,59,1.3500,24 x 2.7 x 33cm<br>  Gewicht: 1.55kg,Meerkleurig,"Hout,Papier"
BARJUL006GRY-UK,58554,julietta-barkruk-loodgrijs-2,"Julietta, tabouret de bar, gris plomb",18900,made,97,44,7.0000,78 x 51.5 x 63 cm,Grijs,"Stof,Metaal"
BEDLIN019BLU-ME,58477,linnell-tweepersoonsbed-met-lade-donker-grijs-1,"Linnell tweepersoonsbed met lade, donker grijs",54900,made,102,148,90.0000,1: 103 x 18 x 173cm<br> 2: 34 x 13 x 206cm<br> 3: 34 x 11 x 173cm<br> 4: 64 x 8 x 121 x 32cm,Blauw,
BSTCBU007GRY-UK,21231,cubus-dekbedovertrekset-satijn-voorgeverfd-garen-300tc-space-grijs,"Cubus dekbedovertrekset, 240 x 220cm, satijn, voorgeverfd garen, 300TC, space grijs",8900,made,240,200,0,0,Grijs,
BSTDIP005GRE-UK,21116,dipped-dekbedovertrekset-egyptisch-katoen-dip-dye-200tc-aquamarijn,"Dipped 150 x 220cm 200tc Egyptian Cotton Stonewash Bed Set, Mineral",2900,made,150,220,1.2000,0,Groen,
BSTDIP016GRY-UK,21171,dipped-dekbedovertrekset-egyptisch-katoen-dip-dye-200tc-olifant-grijs,"Dipped Double 200tc Egyptian Cotton Stonewash Bed Set, Elephant",6900,made,200,200,1.6000,0,"Wit,Grijs",
BSTFJA005BLU-UK,21011,freja-brushed-cotton-bed-set-blue-stripe,"Freja 150 x 220cm Brushed Cotton Bed Set, Blue Stripe",2500,made,150,220,0,0,Blauw,
BSTFTA004GRY-UK,21041,fontana-dekbedovertrekset-katoen-grijs,"Fontana dekbedovertrekset, 260 x 220cm, 200TC, katoen, grijs",4900,made,225,220,0,0,Grijs,
CHACAT004BRO-UK,58941,2-x-cata-eetkamerstoelen-muisgrijs-3,"Set of 2 Cata Dining Chairs, Tan PU",32900,made,83,57,8.0000,0,Bruin,Stof
CHACAT005GRY-UK,58942,2-x-cata-eetkamerstoelen-muisgrijs-4,"Set of 2 Cata Dining Chairs, Grey PU",32900,made,83,57,8.0000,0,Grijs,Stof
CHAHEK004GRY-UK,59323,2-x-hektor-eetkamer-kuipstoel-bruin-leer-en-zwart-3,"2 x Hektor eetkamer kuipstoel, bruin leer en zwart",44900,made,81,61,7.0000,1: 58 x 144 x 68cm ,Grijs,Leer
CHAKIT019GRE-UK,59324,2-x-kitsch-eetkamerstoelen-in-appelgroen,"2 x Kitsch eetkamerstoelen, in appelgroen",6900,made,87,46,4.0000,66 x 10 x 50cm,Donkerturkoois,"Koper,Hout"
CHALLE032BLU-UK,59325,2-x-lule-eetkamerstoelen-met-armleuningen-mosterdgeel-en-walnoot-3,"2 x Lule eetkamerstoelen met armleuningen, mosterdgeel en walnoot",32900,made,83,60,11.0000,Pakket 1: 59 x 64 x 66 cm,Blauw,"Fluweel,Eiken"
CHALLE033BLU-UK,59326,2-x-lule-eetkamerstoelen-lichtroze-fluweel-3,"2 x Lule eetkamerstoelen, lichtroze fluweel",29900,made,83,53,16.0000,55 x 65 x 57 cm,Blauw,"Fluweel,Eiken"
CLKMOR002BLK-UK,58939,made-essentials-morley-wandklok-zwart-en-wit,"MADE Essentials Morley wandklok, zwart en wit",1800,made,25,25,0.3000,6 x 28 x 6 cm,Zwart,Plastic
CLKRLA020ZCO-UK,58517,aurelia-wekker-koper-3,"Aurelia wekker, koper",1900,made,11,11,0.2000,H13 x W13 x D7cm,Koper,"Koper,Metaal"
CLKRLA021ZCO-UK,58518,aurelia-grote-wandklok-koper-1,"Aurelia grote wandklok, koper",6900,made,50,50,1.0000,0,Koper,"Koper,Metaal"
CLKRLA022ZCO-UK,58940,aurelia-wandklok-koper-1,"Aurelia wandklok, koper",3900,made,30,30,0.5000,0,"Metallic,Koper","Koper,Metaal"
CODJNS069GRY-UK,59256,jenson-ladenkast-eikenhout-1,"Jenson Ladenkast, Eikenhout",69900,made,95,90,66.5000,98.5 x 53.5 x 90 cm,"Grijs,Donker hout",Hout
CODLAR005GRY-UK,57224,larsen-ladekast-walnotenhout-en-grijs,"Larsen ladekast, walnotenhout en grijs",17900,made,106,100,46.0000,0,"Grijs,Donker hout",Hout
CODLAR006GRY-UK,57226,larsen-brede-ladekast-walnotenhout-en-grijs,"Larsen brede ladekast, walnotenhout en grijs",22900,made,91,120,55.0000,1: 99 x 65 x 10cm<br> 2. 138 x 52 x 80cm,"Grijs,Donker hout",Hout
FITDUS050GRE-UK,20816,dusk-beddengoed-egyptisch-percalkatoen-200tc-aquamarijn,"Dusk hoeslaken, 180 × 200 x 30cm, Egyptisch percalkatoen, 200TC, aquamarijn",1900,made,0,0,0,0,Turkoois,
FLADUS052BEI-UK,20826,dusk-beddengoed-egyptisch-percalkatoen-200tc-beige,"Dusk laken, 180 × 270cm, Egyptisch percalkatoen, 200TC, beige",1900,made,0,0,0,0,Neutraal,
FLADUS055GRE-UK,20841,dusk-beddengoed-egyptisch-percalkatoen-200tc-aquamarijn,"Dusk laken, 180 × 270cm, Egyptisch percalkatoen, 200TC, aquamarijn",1900,made,0,0,0,0,Turkoois,
FLADUS057BEI-UK,20851,dusk-beddengoed-egyptisch-percalkatoen-200tc-beige,"Dusk laken, 230 × 275cm, Egyptisch percalkatoen, 200TC, beige",1900,made,130,190,0,0,Neutraal,
FLADUS060GRE-UK,20866,dusk-beddengoed-egyptisch-percalkatoen-200tc-aquamarijn,"Dusk laken, 230 × 275cm, Egyptisch percalkatoen, 200TC, aquamarijn",1900,made,130,190,0,0,Turkoois,
FLADUS067BEI-UK,20901,dusk-beddengoed-egyptisch-percalkatoen-200tc-beige,"Dusk laken, 305 x 275cm, Egyptisch percalkatoen, 200TC, beige",3900,made,0,0,0,0,Neutraal,
