product_id,detail_url,title,category,sofa_category,competitor,totale breedte (a),binnenbreedte (b),totale hoogte (c),framehoogte (d),totale diepte (e),zithoogte (f),zitdiepte (g),lengte van de poten (l),matraslengte (m),matrasbreedte (n),totale diepte bed uitgeklapt (z),bekleding,garantie op het frame,zitkussens,rugkussens,original_price,price,totale lengte (h),internal length (i),interne lengte (i),footboard height (k)
SB-OTO,https://www.sofa.com/nl/banken/slaapbanken/otto-slaapbanken/p/SB-OTO,Otto Slaapbanken,sofa_beds,Slaapbanken,sofa,168cm,146cm,94cm,61cm,102cm,56cm,70cm,4cm,183cm,114cm,230cm,Afneembaar,Levenslang,Schuimrubber Met Eendenveren,Veren En Quallofil Kunstvezels,2.568,1.541,,,,
SB-ISA,https://www.sofa.com/nl/banken/slaapbanken/isaac-slaapbanken/p/SB-ISA,Isaac Slaapbanken,sofa_beds,Slaapbanken,sofa,175cm,132cm,92cm,76cm,95cm,47cm,62cm,,185cm,134cm,220cm,Removable,Levenslang,Feather Wrapped Foam,100 % Feather,3.300,1.980,262cm,220cm,,
SB-STE,https://www.sofa.com/nl/banken/slaapbanken/stella-slaapbanken/p/SB-STE,Stella Slaapbanken,sofa_beds,Slaapbanken,sofa,178cm,138cm,92cm,64cm,100cm,57cm,65cm,4cm,183cm,114cm,230cm,"Losse Afneembare Hoes (Behalve Leer, Dat Is Vast)",Levenslang,Feather-Wrapped Foam,3 Tiered Feather And Fibre Combination,"2,268","1,361",,,,
SB-AIS,https://www.sofa.com/nl/banken/slaapbanken/aissa-slaapbanken/p/SB-AIS,Aissa Slaapbanken,sofa_beds,Slaapbanken,sofa,157cm,139cm,91cm,63cm,97cm,54cm,60cm,5cm,183cm,114cm,228cm,Vast,Levenslang,Schuimrubber Omhuld Door Eendenveren,Eendenveren En Synthetische Vezels,2.388,1.433,,,,
SB-DOU,https://www.sofa.com/nl/banken/slaapbanken/douglas-slaapbanken/p/SB-DOU,Douglas Slaapbanken,sofa_beds,Slaapbanken,sofa,212cm,190cm,87cm,65cm,90cm,40cm,50cm,20cm,,,106cm,Vast,Levenslang,,,"1,308",785,,,,
SB-ASF,https://www.sofa.com/nl/banken/slaapbanken/aspen-vaste-rugleuning-slaapbanken/p/SB-ASF,Aspen Vaste Rugleuning Slaapbanken,sofa_beds,Slaapbanken,sofa,196cm,136cm,99cm,78cm,110cm,47cm,63cm,4cm,183cm,114cm,237cm,Removable,Levenslang,Feather Wrapped Foam,100% Feather,2.568,1.541,,,,
SB-ASP,https://www.sofa.com/nl/banken/slaapbanken/aspen-met-losse-sierkussens-slaapbanken/p/SB-ASP,Aspen Met Losse Sierkussens Slaapbanken,sofa_beds,Slaapbanken,sofa,196cm,136cm,89cm,78cm,110cm,47cm,63cm,4cm,183cm,114cm,237cm,Removable,Levenslang,Feather Wrapped Foam,100% Feather,"2,568","1,541",,,,
SB-BLB,https://www.sofa.com/nl/banken/slaapbanken/bluebell-slaapbanken/p/SB-BLB,Bluebell Slaapbanken,sofa_beds,Slaapbanken,sofa,172cm,135cm,95cm,77cm,110cm,50cm,65cm,12cm,183cm,113cm,233cm,Vast met verwijderbare zit- en rugkussenbekledingen,Levenslang,Schuimkern Omhuld Met Veren,Veren En Quallofill,"2,196","1,318",,,,
FS-BLB-430,https://www.sofa.com/nl/banken/bluebell-banken/p/FS-BLB-430,Bluebell Banken,3_seat_sofas,3-zits banken,sofa,218cm,183cm,91cm,75cm,106cm,53cm,60cm,17cm,,,,Vast Met Afneembare Kussenhoezen,Levenslang,Eendenveren Met Schuimrubber,Eendenveren En Kunstvezels,2.112,1.795,,,,
FS-SNO-130,https://www.sofa.com/nl/banken/uit-elkaar-te-halen-voor-handig-ver-plaatsen-banken/snowdrop-banken/p/FS-SNO-130,Snowdrop Banken,3_seat_sofas,3-zits banken,sofa,218cm,183cm,88cm,77cm,106cm,53cm,66cm,16cm,,,,Fixed With Removable Cushion Covers,Levenslang,Feather-Wrapped Foam,,"1,668","1,418",,,,
