product_id,detail_url,title,price,category,competitor,materiaal,kleur,afmeting,details,onderhoudsvoorschriften
DEQ18AND74468-115466,https://www.westwingnow.nl/xl-hanglamp-spike-92832.html?simple=DEQ18AND74468-115466,XL-hanglamp Spike,199.-,pendant_lights,westwingnow,Baldakijn: verchroomd metaalLampenkap: verchroomd metaal,Baldakijn: chroomkleurigLampenkap: chroomkleurigSnoer: transparant,"Totaal: Ø 90 cmSnoerlengte: 130 cmStangen: alle max. L 38 cmBinnenkant bol: Ø 12 cmAfstand tot het plafond: max. 150 cm, individueel in hoogte verstelbaar","Grote hanglamp zonder peertjes. Gewicht: 4 kg.De montage van deze lamp kan ongeveer 10 minuten in beslag nemen.Door de grote diameter is dit XL-licht het beste geschikt voor plafondhoogten vanaf 3 meter. Wij adviseren het gebruik van 24 LED-lampen met 250 lumen en 5 W. Wanneer dimbare lampen worden gebruikt, kan de lamp worden gedimd via een wanddimmer. Wij adviseren de wanddimmer door een professional te laten installeren.24 benodigde peertjes: E14, max. 25 W, zijn niet bij de levering inbegrepen.Producent en productnummer: Wlabels GmbH, DEL7LIT01-106Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertjes geleverd.",
DEQ18WES09025-124301,https://www.westwingnow.nl/hanglamp-aloisie-99162.html?simple=DEQ18WES09025-124301,Hanglamp Aloisie,249.-,pendant_lights,westwingnow,"Baldakijn, frame en stang: vermessingd metaalLampenkappen: glas","Baldakijn, frame en stang: messingkleurigLampenkappen: witSnoer: transparant","Totaal: L 110 cm, B 55 cmLampenkappen: alle 10 cmAfstand tot het plafond: 90-150 cm","Hanglamp, in hoogte verstelbaar.De lamparmen kunnen niet versteld worden.6 benodigde peertjes: LED, G9, max. 4 W, zijn niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL8LIT03-111Geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertjes geleverd.",
DEQ18WES36707-124303,https://www.westwingnow.nl/hanglamp-edie-99164.html?simple=DEQ18WES36707-124303,Hanglamp Edie,139.-,pendant_lights,westwingnow,Baldakijn en fitting: gepoedercoat metaalLampenkappen: glasSnoer: textiel,Baldakijn en fitting: zwartLampenkappen: transparant grijsSnoer: zwart,"Totaal: Ø 30 cmLampenkappen: alle Ø 15 cmSnoerlengte: 150 cmAfstand tot het plafond: max. 165 cm, individueel in hoogte verstelbaar","Glazen hanglamp3 benodigde peertjes: LED, G9, max. 4 W, zijn niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL8LIT03-114Geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertjes geleverd.",
DEQ14VIT59991-16990,https://www.westwingnow.nl/hanglamp-eos-14738.html?simple=DEQ14VIT59991-16990,Hanglamp Eos,vanaf 99.-,pendant_lights,westwingnow,"Lampenkap: ganzenveren, staalBaldakijn: kunststof",Wit,"Lampenkap: Ø 75 cm, H 45 cm Afstand tot het plafond: max. 210 cm, individueel verstelbaar","Hanglamp Eos X-Large inclusief snoerpendel.De veren hebben nadat ze samen zijn gezet even tijd nodig om de uiteindelijke vorm van de lamp te verkrijgen.Handleiding is bijgesloten.Wordt plat verpakt geleverd en enige montage is vereist.1 benodigd peertje: E27, max. 60 W, is niet bij de levering inbegrepen.Producent en productnummer:Umage by Vita Copenhagen, Nr. 02012 Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ18WES87529-124306,https://www.westwingnow.nl/hanglamp-chloe-99167.html?simple=DEQ18WES87529-124306,Hanglamp Chloe,99.-,pendant_lights,westwingnow,Baldakijn en fitting: vermessingd metaalLampenkap: glas,Baldakijn en fitting: messingkleurigLampenkap: witSnoer: transparant,"Lampenkap: Ø 20 cm, H 40 cmSnoerlengte: 220 cmAfstand tot het plafond: max. 260 cm, individueel in hoogte verstelbaar","Glazen hanglampDoor het geïntegreerde contragewicht in het ronde frame hangen de lamp en het snoer altijd loodrecht, zoals te zien is op de foto's.1 benodigd peertje: LED, E27, max. 4 W, is niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL8LIT03-117Geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ18MIR79113-127251,https://www.westwingnow.nl/hanglamp-clouds-101503.html?simple=DEQ18MIR79113-127251,Hanglamp Clouds,vanaf 49.-,pendant_lights,westwingnow,Baldakijn en frame: vermessingd metaalLampenkap: linnenSnoer: kunststof,Baldakijn en frame: messingkleurigLampenkap: taupeSnoer: transparant,"Lampenkap: Ø 40 cm, H 40 cmSnoerlengte: 125 cmAfstand vanaf het plafond: max. 165 cm,individueel in hoogte verstelbaar","Hanglamp, in hoogte verstelbaar.Wordt in een plat, ruimtebesparend pakket geleverd en dient nog gemonteerd te worden.1 benodigd peertje: E 27, max. 60 W, is niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL6LIT03-141Geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ17MAR86959-98158,https://www.westwingnow.nl/hanglamp-capital-78431.html?simple=DEQ17MAR86959-98158,Hanglamp Capital,174.-,pendant_lights,westwingnow,Vermessingd metaal,Messingkleurig,"Totaal: Ø 63 cmTotale hoogte: 106-166 cm in 30 cm trapsgewijs instelbaarLampenarm met fittingen: alle B 63 cmOphangstang van het plafond: H 120 cm, verstelbaar naar H 90 cm of H 60 cm.","Hanglamp met 3 lamparmen die elk 360° horizontaal draaibaar zijn.Met een minimale hoogte van 106 cm, houd hier rekening mee.De ophanging naar het plafond bestaat uit 4 delen, waarvan eventueel 1 of 2 kunnen worden weggehaald, zodat de hanghoogte kan worden aangepast met 30 of 60 cm.6 benodigde peertjes: E27, max. 60 W, zijn niet bij de levering inbegrepen.Producent en productnummer: Markslöjd, 106418Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertjes geleverd.",
DEQ18WES21002-127734,https://www.westwingnow.nl/hanglamp-grover-101936.html?simple=DEQ18WES21002-127734,Hanglamp Grover,199.-,pendant_lights,westwingnow,Baldakijn: metaalLampenkappen: glasFittingen: metaalSnoer: kunststof,Baldakijn: glanzend goudkleurigLampenkappen: witStaaf: glanzend goudkleurigFittingen: glanzend goudkleurigSnoer: transparant,"Totaal: Ø 70 cm, H 56 cmLampenkappen: alle Ø 10 cmStaaf: alle L 35 cmSnoerlengte: 100 cmAfstand vanaf het plafond:max. H 156 cm, individueel in hoogte verstelbaar","Hanglamp met verstelbare stangen.12 benodigde LED peertjes: fitting G9 , max. 4 Watt, zijn niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH,  DEL8LIT01-107Geschikt voor peertjes met een energieklasse van A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ18AND96693-115465,https://www.westwingnow.nl/xl-hanglamp-spike-92831.html?simple=DEQ18AND96693-115465,XL-hanglamp Spike,199.-,pendant_lights,westwingnow,Baldakijn: metaalLampenkap: metaal,Baldakijn: goudkleurigLampenkap: goudkleurigSnoer: transparant,"Totaal: Ø 90 cmSnoer: L 130 cmStangen: alle max. L 38 cmBinnenkant bol: Ø 12 cmAfstand tot het plafond: max. 150 cm, individueel in hoogte verstelbaar","Grote hanglamp zonder peertje. Gewicht: 4 kg.Een montagetijd van ongeveer 10 minuten is vereist Door de grote diameter is dit XL-licht het beste geschikt voor plafondhoogten vanaf 3 meter. Wij adviseren het gebruik van 24 LED-lampen met 250 lumen en 5 watt. Wanneer dimbare lampen worden gebruikt, kan de lamp worden gedimd via een wanddimmer. Wij adviseren een specialist voor de installatie van de wanddimmer.  24 benodigde peertjes: E 14, max. 25 W, zijn niet bij de levering inbegrepen.Producent en productnummer: Wlabels GmbH, DEL7LIT01-105Deze lamp is geschikt voor peertjes van energieklasse A++ tot E.Wordt geleverd  exclusief peertjes.",
DEQ18AND82733-115463,https://www.westwingnow.nl/xs-hanglamp-spike-92829.html?simple=DEQ18AND82733-115463,XS hanglamp Spike,99.-,pendant_lights,westwingnow,Baldakijn: metaalLampenkap: metaal,Baldakijn: goudkleurigLampenkap: goudkleurigSnoer: transparant,"Totaal: Ø 30 cmSnoerlengte: 115 cmStangen: alle max. L 12 cmBinnenkant bol: Ø 8 cmAfstand tot het plafond: max. 120 cm, individueel in hoogte verstelbaar","Kleine hanglamp zonder peertje.Gewicht: 2 kg.Wordt volledig gemonteerd geleverd. Wij adviseren het gebruik van 8 LED-lampen met 250 lumen en max. 5 W.Als dimbare peertjes worden gebruikt, kan de lamp worden gedimd via een wanddimmer. Wij adviseren de wanddimmer door een professional te laten installeren.8 benodigde peertjes: E14, max. 25 W, zijn niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL7LIT01-103Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertjes geleverd.",
DEQ17MAR47091-93377,https://www.westwingnow.nl/hanglamp-sky-74420.html?simple=DEQ17MAR47091-93377,Hanglamp Sky,59.-,pendant_lights,westwingnow,Vermessingd metaal,Messing,"Totaal: Ø 25 cm, H 150 cmAfstand tot het plafond: alle 150 cm, individueel in hoogte verstelbaar","HanglampMontage door middel van een plafondhaak, die niet wordt meegeleverd.1 benodigd peertje: E27 max. 60 W, is niet bij de levering inbegrepen.Producent en productnummer:Markslöjd, 106333Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
